player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,player_name,position,fantasy_points_ppr,target_next_year_points
00-0032464,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,7,36.0,0,0.0,0.0,4.0,2.2991403104388155,0,47,64,616.0,0,1.0,1.0,638.0,218.0,24.0,21.02153123925591,0,19.53336631699051,2.062790315522755,2.795406935886238,5.0509703284044996,1.0,69.2,16,0.11552346570397112,0.1658004158004158,0.10116009280742459,0.30592553119628935,0.14708691499522444,0.0,0.1111111111111111,0.0995850622406639,0.07354345749761222,0.11766953199617956,1.111913357400722,0.07624071595412435,Kalif Raymond,WR,110.2,97.4
00-0032464,2023,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,7,75.0,0,0.0,0.0,2.0,3.327270259556826,0,35,44,489.0,1,0.0,0.0,388.0,214.0,20.0,29.941924275573406,0,19.21937520173732,1.2953088046094858,1.6192130125765276,3.076412315717798,0.0,62.400000000000006,17,0.07260726072607261,0.09495839451786588,0.09925788497217068,0.18487760670340164,0.10616587060356057,0.03333333333333333,0.08771929824561403,0.08139534883720931,0.06974960196844696,0.09159936314951513,0.806930693069307,0.05689451733121488,Kalif Raymond,WR,97.4,57.2
00-0032543,2020,REG,0,1,0.0,0,0.0,0.0,0.0,0,0,21.0,0.0,0.0,-0.4890727505553514,0,0.0,0.0,5,7.0,0,1.0,1.0,0.0,-6.089971763023641,0,12,17,139.0,0,0.0,0.0,122.0,67.0,5.0,2.6832760619713047,0,16.437321937321936,0.5991844412897044,0.5198378105945207,1.2626631293507211,0.0,12.600000000000001,9,0.05964912280701754,0.052699784017278616,0.0690010298661174,0.1316335114243492,0.07296587926509186,0.0,0.05555555555555555,0.05102040816326531,0.03648293963254593,0.05837270341207349,0.48771929824561405,0.03727837551144113,Alex Erickson,WR,24.6,8.5
00-0032602,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,85,365.0,1,1.0,0.0,25.0,-6.219467732895017,0,80,110,589.0,2,2.0,1.0,186.0,503.0,32.0,-9.48866199542797,0,66.22230568995275,2.9304952714350683,0.4988328239617419,4.744925883925822,0.0,111.4,16,0.18302828618968386,0.050121261115602264,0.22978529008679763,0.31463943817700757,0.15516332982086406,0.125,0.17391304347826086,0.17,0.14008166491043203,0.14913066385669124,0.9800332778702163,0.147056563762927,J.D. McKissic,RB,200.70000000000002,127.9
00-0032602,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,48,212.0,2,0.0,0.0,14.0,3.947427417850122,0,43,53,397.0,2,0.0,0.0,31.0,380.0,15.0,13.87953999483855,0,-29.481410256410264,1.5301250596444285,0.018074549145310134,2.3078397738683596,0.0,84.9,11,0.14363143631436315,0.01105169340463458,0.28169014084507044,0.2242885091952524,0.15118050266565117,0.125,0.11811023622047244,0.11888111888111888,0.1380902513328256,0.14594440213252094,1.075880758807588,0.1365373529474561,J.D. McKissic,RB,127.9,53.8
00-0032688,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,15.0,0,0.0,0.0,1.0,-1.0661916621029377,0,95,136,1096.0,3,1.0,1.0,1318.0,497.0,49.0,27.086570654186716,1,14.927365519646926,4.110121373724315,5.326628090025334,9.893821723604207,0.0,129.1,16,0.24727272727272728,0.32036947010209044,0.24422604422604421,0.6272046669907633,0.2654395737466699,0.1875,0.2552083333333333,0.25,0.22646978687333494,0.2498516589973359,1.9927272727272727,0.164361257389289,Robby Anderson,WR,222.1,138.5
00-0032688,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,36.0,0,0.0,0.0,1.0,2.224925854592584,0,53,110,519.0,5,0.0,0.0,1156.0,158.0,27.0,-28.59433002285859,0,10.154098182183292,3.104134815537487,4.190961165201778,7.589875038947476,0.0,85.5,17,0.18363939899833054,0.2617160968983473,0.08629164391043145,0.48483197601617367,0.1452560873215785,0.35714285714285715,0.15517241379310345,0.1702127659574468,0.25119947223221784,0.18763344128583426,0.8664440734557596,0.11219844137327652,Robby Anderson,WR,138.5,52.2
00-0032688,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,20,44,282.0,1,1.0,1.0,625.0,92.0,10.0,-7.144595923484226,0,6.262545221653825,1.4107230731607028,2.766644664819042,4.052735875114384,0.0,32.2,12,0.10653753026634383,0.2049852410626435,0.06865671641791045,0.32379448824963053,0.10981308411214953,0.07692307692307693,0.08849557522123894,0.0873015873015873,0.09336808051761322,0.10323508267433501,0.6828087167070218,0.05836184342926142,Robby Anderson,WR,52.2,22.6
00-0032688,2023,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,4,6,126.0,1,0.0,0.0,141.0,31.0,3.0,2.1532594937016256,0,3.7974254742547426,0.17623716153127916,0.6067251282649206,0.6890633320823631,0.0,18.6,5,0.03389830508474576,0.10904872389791183,0.04366197183098591,0.13808643674544813,0.08327825512227363,0.09090909090909091,0.043478260869565216,0.05,0.08709367301568227,0.0848044222796371,0.711864406779661,0.04068992834251557,Robbie Chosen,WR,22.6,1.5
00-0032725,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,8,11,106.0,0,0.0,0.0,44.0,80.0,7.0,5.3689262149855494,0,7.832411067193676,0.3202797202797203,0.18838718948368072,0.6122906130581569,0.0,10.600000000000001,3,0.09401709401709402,0.0567741935483871,0.18561484918793503,0.1864449958643507,0.1387434554973822,0.0,0.175,0.1590909090909091,0.0693717277486911,0.11099476439790577,0.905982905982906,0.07227230338824993,Stephen Anderson,TE,18.6,38.5
