player_id,name,position,pro_team,projected_points
4362081,Cameron Dicker,K,LAC,156.89
2578570,Jacoby Brissett,QB,ARI,156.68625000000003
4362249,Jayden Reed,WR,GB,156.50499999999997
4574716,Harrison Mevis,K,LAR,156.34
2977187,Cooper Kupp,WR,SEA,155.33024999999998
2473037,Jason Myers,K,SEA,154.78
4870795,Makai Lemon,WR,PHI,154.27
4360078,Alec Pierce,WR,IND,154.13049999999998
5083315,Kenyon Sadiq,TE,NYJ,153.41
2971573,Ka'imi Fairbairn,K,HOU,153.09
4569587,Wan'Dale Robinson,WR,TEN,152.834
4870653,KC Concepcion,WR,CLE,152.53
4034949,Eddy Pineiro,K,SF,150.97
3929645,Juwan Johnson,TE,NO,150.60999999999993
4248528,Christian Watson,WR,GB,148.9625
4568490,RJ Harvey,RB,DEN,148.16
4360516,Tyrone Tracy Jr.,RB,NYG,147.52349999999996
3121023,Dallas Goedert,TE,PHI,146.13749999999996
3055899,Harrison Butker,K,KC,145.69
3116365,Mark Andrews,TE,BAL,145.34049999999996
4360569,Jordan Mason,RB,MIN,145.27250000000004
4697745,Tyler Loop,K,BAL,143.69
4689936,Jake Bates,K,DET,143.31
4686361,Cam Little,K,JAX,143.09
4869461,Trey Smack,K,GB,141.98
4243331,Cade Otton,TE,TB,141.2549999999999
17427,Cairo Santos,K,CHI,141.22
4877706,Jayden Higgins,WR,HOU,140.92
3046439,Hunter Henry,TE,NE,140.14325
4832800,Denzel Boston,WR,CLE,140.12
4361411,Pat Freiermuth,TE,PIT,139.43649999999997
4360234,Evan McPherson,K,CIN,139.36
4360939,Rashod Bateman,WR,BAL,138.5999999999999
17372,Chris Boswell,K,PIT,138.44
3150744,Chase McLaughlin,K,TB,138.23
4567104,Will Reichard,K,MIN,138.13
3126486,Deebo Samuel Sr.,WR,SF,137.6775
10621,Nick Folk,K,ATL,136.56
4570037,Terrance Ferguson,TE,LAR,135.81
5208518,Charlie Smyth,K,NO,135.47
4040655,Darnell Mooney,WR,NYG,135.094
3917232,Tyler Bass,K,BUF,134.94
3116385,Joe Mixon,RB,,134.83124999999995
5082424,Dominic Zvada,K,NYG,134.78
4695883,Jalen Coker,WR,CAR,134.50399999999996
3050478,Jake Elliott,K,PHI,134.17
